severity	updateDate	comments	line	author	fromHotspot	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MINOR	2019-10-28T14:09:44+0000		17.0		false	squid:RedundantThrowsDeclarationCheck	com.mycompany:CupCake	5min	Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.	2019-10-28T14:09:44+0000	CODE_SMELL	"clumsy / error-handling / redundant / unused / "	com.mycompany:CupCake:src/main/java/logic/Account.java		default-organization	{startLine=17.0, endLine=17.0, startOffset=47.0, endOffset=71.0}	5min	AW4Ss_BekMvoHfz8J1ai	c47b9169c9f6e7027d004f89e07e9c2b	OPEN
CRITICAL	2019-10-28T14:09:44+0000		22.0		false	squid:S1192	com.mycompany:CupCake	8min	"Define a constant instead of duplicating this literal ""Balance must be a positive value"" 3 times."	2019-10-28T14:09:44+0000	CODE_SMELL	"design / "	com.mycompany:CupCake:src/main/java/logic/Account.java	"{locations=[{component=com.mycompany:CupCake:src/main/java/logic/Account.java, textRange={startLine=22.0, endLine=22.0, startOffset=47.0, endOffset=81.0}, msg=Duplication}]} / {locations=[{component=com.mycompany:CupCake:src/main/java/logic/Account.java, textRange={startLine=34.0, endLine=34.0, startOffset=47.0, endOffset=81.0}, msg=Duplication}]} / {locations=[{component=com.mycompany:CupCake:src/main/java/logic/Account.java, textRange={startLine=62.0, endLine=62.0, startOffset=47.0, endOffset=81.0}, msg=Duplication}]} / "	default-organization	{startLine=22.0, endLine=22.0, startOffset=47.0, endOffset=81.0}	8min	AW4Ss_BekMvoHfz8J1ah	7f83da13aca433e2444c2b7ed292580d	OPEN
MINOR	2019-10-28T14:09:44+0000		58.0		false	squid:RedundantThrowsDeclarationCheck	com.mycompany:CupCake	5min	Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.	2019-10-28T14:09:44+0000	CODE_SMELL	"clumsy / error-handling / redundant / unused / "	com.mycompany:CupCake:src/main/java/logic/Account.java		default-organization	{startLine=58.0, endLine=58.0, startOffset=47.0, endOffset=71.0}	5min	AW4Ss_BekMvoHfz8J1aj	43c1732cc8c39f2676f342efd9ab9091	OPEN
MINOR	2019-10-28T14:09:44+0000		71.0		false	squid:RedundantThrowsDeclarationCheck	com.mycompany:CupCake	5min	Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.	2019-10-28T14:09:44+0000	CODE_SMELL	"clumsy / error-handling / redundant / unused / "	com.mycompany:CupCake:src/main/java/logic/Account.java		default-organization	{startLine=71.0, endLine=71.0, startOffset=52.0, endOffset=76.0}	5min	AW4Ss_BekMvoHfz8J1ak	851dfb3e32efd66c86e67aef6d338a90	OPEN
MINOR	2019-10-28T14:09:44+0000		23.0		false	squid:RedundantThrowsDeclarationCheck	com.mycompany:CupCake	5min	Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.	2019-10-28T14:09:44+0000	CODE_SMELL	"clumsy / error-handling / redundant / unused / "	com.mycompany:CupCake:src/main/java/logic/Bottom.java		default-organization	{startLine=23.0, endLine=23.0, startOffset=51.0, endOffset=75.0}	5min	AW4Ss_BxkMvoHfz8J1an	3ea2485ddd76e9d4b185c2de6a135f5b	OPEN
MINOR	2019-10-28T14:09:44+0000		44.0		false	squid:RedundantThrowsDeclarationCheck	com.mycompany:CupCake	5min	Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.	2019-10-28T14:09:44+0000	CODE_SMELL	"clumsy / error-handling / redundant / unused / "	com.mycompany:CupCake:src/main/java/logic/Bottom.java		default-organization	{startLine=44.0, endLine=44.0, startOffset=43.0, endOffset=67.0}	5min	AW4Ss_BxkMvoHfz8J1ao	9ce76323b6e704ef5d9d0c8e989bcdd4	OPEN
MINOR	2019-10-28T14:09:44+0000		2.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unnecessary import: same package classes are always implicitly imported.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/logic/Cupcake.java		default-organization	{startLine=2.0, endLine=2.0, startOffset=0.0, endOffset=21.0}	2min	AW4Ss_BUkMvoHfz8J1af	ed1f6a85783994f0827a6f5c0ab4be40	OPEN
MINOR	2019-10-28T14:09:44+0000		3.0		false	squid:UselessImportCheck	com.mycompany:CupCake	2min	Remove this unnecessary import: same package classes are always implicitly imported.	2019-10-28T14:09:44+0000	CODE_SMELL	"unused / "	com.mycompany:CupCake:src/main/java/logic/Cupcake.java		default-organization	{startLine=3.0, endLine=3.0, startOffset=0.0, endOffset=20.0}	2min	AW4Ss_BUkMvoHfz8J1ag	c36d0255e6b002b93da03625d3f6ad82	OPEN
MINOR	2019-10-28T14:09:44+0000		41.0		false	squid:S1488	com.mycompany:CupCake	2min	"Immediately return this expression instead of assigning it to the temporary variable ""price""."	2019-10-28T14:09:44+0000	CODE_SMELL	"clumsy / "	com.mycompany:CupCake:src/main/java/logic/Cupcake.java		default-organization	{startLine=41.0, endLine=41.0, startOffset=20.0, endOffset=56.0}	2min	AW4Ss_BTkMvoHfz8J1ae	450e80f7077bebcd43473477d5bfff11	OPEN
MAJOR	2019-10-28T14:09:44+0000		12.0		false	squid:S1118	com.mycompany:CupCake	5min	Add a private constructor to hide the implicit public one.	2019-10-28T14:09:44+0000	CODE_SMELL	"design / "	com.mycompany:CupCake:src/main/java/logic/Encryption.java		default-organization	{startLine=12.0, endLine=12.0, startOffset=13.0, endOffset=23.0}	5min	AW4Ss_B6kMvoHfz8J1ap	7a8122156c4407331bf156dfa614455b	OPEN
-	2019-10-28T14:09:44+0000		28.0		true	squid:S4790	com.mycompany:CupCake	-	Make sure that hashing data is safe here.	2019-10-28T14:09:44+0000	SECURITY_HOTSPOT	"cwe / owasp-a3 / owasp-a6 / sans-top25-porous / spring / "	com.mycompany:CupCake:src/main/java/logic/Encryption.java		default-organization	{startLine=28.0, endLine=28.0, startOffset=41.0, endOffset=52.0}	-	AW4Ss_B6kMvoHfz8J1aq	f0dbd02f4ec9672abe9934b1443aa660	TO_REVIEW
MINOR	2019-10-28T14:09:44+0000		19.0		false	squid:RedundantThrowsDeclarationCheck	com.mycompany:CupCake	5min	Remove the declaration of thrown exception 'java.lang.IllegalArgumentException' which is a runtime exception.	2019-10-28T14:09:44+0000	CODE_SMELL	"clumsy / error-handling / redundant / unused / "	com.mycompany:CupCake:src/main/java/logic/LineItem.java		default-organization	{startLine=19.0, endLine=19.0, startOffset=58.0, endOffset=82.0}	5min	AW4Ss_BokMvoHfz8J1am	3d67843801936b364c17f1c97e8d4ab0	OPEN
MINOR	2019-10-28T14:09:44+0000		33.0		false	squid:S1488	com.mycompany:CupCake	2min	"Immediately return this expression instead of assigning it to the temporary variable ""totalPrice""."	2019-10-28T14:09:44+0000	CODE_SMELL	"clumsy / "	com.mycompany:CupCake:src/main/java/logic/LineItem.java		default-organization	{startLine=33.0, endLine=33.0, startOffset=25.0, endOffset=52.0}	2min	AW4Ss_BokMvoHfz8J1al	f27034dbdad5cff134d07367d57b049d	OPEN
